Nom,Coût,Bénéfice
Share-ECAQ,31.66,39.49
Share-IXCI,26.32,39.4
Share-FWBE,18.31,39.82
Share-ZOFA,25.32,39.78
Share-PLLK,19.94,39.91
Share-LXZU,4.24,39.54
Share-YFVZ,22.55,39.1
Share-ANFX,38.55,39.72
Share-PATS,27.7,39.97
Share-SCWM,6.42,38.1
Share-NDKR,33.06,39.91
Share-ALIY,29.08,39.93
Share-JWGF,48.69,39.93
Share-JGTW,35.29,39.43
Share-FAPS,32.57,39.54
Share-VCAX,27.42,38.99
Share-LFXB,14.83,39.79
Share-DWSK,29.49,39.35
Share-XQII,13.42,39.51
Share-ROOM,15.06,39.23
Profit total après 2 ans,197.96 euros
Coût total investi,499.90 euros
Budget maximum,500.00 euros
Montant restant,0.10 euros
