Nom,Coût,Bénéfice
Share-ECAQ,31.66,39.49
Share-IXCI,26.32,39.4
Share-FWBE,18.31,39.82
Share-ZOFA,25.32,39.78
Share-PLLK,19.94,39.91
Share-YNGA,5.21,39.06
Share-ANFX,38.55,39.72
Share-PATS,27.7,39.97
Share-PUCI,2.54,39.87
Share-VCXT,29.19,39.22
Share-NDKR,33.06,39.91
Share-ALIY,29.08,39.93
Share-JWGF,48.69,39.93
Share-MPJI,8.56,39.72
Share-CDAN,1.67,39.83
Share-JGTW,35.29,39.43
Share-QCTW,3.02,39.18
Share-AMXX,0.41,37.6
Share-FAPS,32.57,39.54
Share-LFXB,14.83,39.79
Share-DWSK,29.49,39.35
Share-JVCL,7.09,39.69
Share-XQII,13.42,39.51
Share-PVHB,3.03,39.89
Share-ROOM,15.06,39.23
Profit total après 2 ans,198.26 euros
Coût total investi,499.99 euros
Budget maximum,500.00 euros
Montant restant,0.01 euros
